领域,年份,会议或期刊名,文章名,链接,代码仓库,数据集或基准链接,本地的下载路径,文章类别,备注
cs.AI,2020,AAAI,Distance-IoU Loss: Faster and Better Learning for Bounding Box Regression,https://ojs.aaai.org/index.php/AAAI/article/download/6999/6853,https://github.com/Zzh-tju/DIoU,,downloads/aaai/2020/distance-iou-loss-faster-and-better-learning-for-bounding-box-regression,方法型,OpenAlex cited_by_count=4077
cs.AI,2020,AAAI,Random Erasing Data Augmentation,https://ojs.aaai.org/index.php/AAAI/article/download/7000/6854,https://github.com/zhunzhong07/Random-Erasing,,downloads/aaai/2020/random-erasing-data-augmentation,方法型,OpenAlex cited_by_count=2861
cs.AI,2020,AAAI,FFA-Net: Feature Fusion Attention Network for Single Image Dehazing,https://ojs.aaai.org/index.php/AAAI/article/download/6865/6719,,,,bench/dataset型,OpenAlex cited_by_count=1640
cs.AI,2020,AAAI,GMAN: A Graph Multi-Attention Network for Traffic Prediction,https://ojs.aaai.org/index.php/AAAI/article/download/5477/5333,https://github.com/zhengchuanpan/GMAN,,downloads/aaai/2020/gman-a-graph-multi-attention-network-for-traffic-prediction,系统型,OpenAlex cited_by_count=1593
cs.AI,2020,AAAI,Spatial-Temporal Synchronous Graph Convolutional Networks: A New Framework for Spatial-Temporal Network Data Forecasting,https://ojs.aaai.org/index.php/AAAI/article/download/5438/5294,,,,bench/dataset型,OpenAlex cited_by_count=1493
cs.AI,2021,AAAI,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,https://ojs.aaai.org/index.php/AAAI/article/download/17325/17132,,,,bench/dataset型,OpenAlex cited_by_count=6171
cs.AI,2021,AAAI,Graph Neural Network-Based Anomaly Detection in Multivariate Time Series,https://doi.org/10.1609/aaai.v35i5.16523,,,,bench/dataset型,OpenAlex cited_by_count=1147
cs.AI,2021,AAAI,R3Det: Refined Single-Stage Detector with Feature Refinement for Rotating Object,https://ojs.aaai.org/index.php/AAAI/article/download/16426/16233,https://github.com/Thinklab-SJTU/R3Det_Tensorflow,,,bench/dataset型,OpenAlex cited_by_count=1048
cs.AI,2021,AAAI,Voxel R-CNN: Towards High Performance Voxel-based 3D Object Detection,https://ojs.aaai.org/index.php/AAAI/article/download/16207/16014,https://github.com/djiajunustc/Voxel-R-CNN,,,bench/dataset型,OpenAlex cited_by_count=951
cs.AI,2021,AAAI,Spatial-Temporal Fusion Graph Neural Networks for Traffic Flow Forecasting,https://doi.org/10.1609/aaai.v35i5.16542,,,,bench/dataset型,OpenAlex cited_by_count=852
cs.AI,2022,AAAI,UCTransNet: Rethinking the Skip Connections in U-Net from a Channel-Wise Perspective with Transformer,https://ojs.aaai.org/index.php/AAAI/article/download/20144/19903,https://github.com/McGregorWwww/UCTransNet,,,bench/dataset型,OpenAlex cited_by_count=1023
cs.AI,2022,AAAI,TS2Vec: Towards Universal Representation of Time Series,https://ojs.aaai.org/index.php/AAAI/article/download/20881/20640,https://github.com/yuezhihan/ts2vec,,,bench/dataset型,OpenAlex cited_by_count=676
cs.AI,2022,AAAI,FedProto: Federated Prototype Learning across Heterogeneous Clients,https://ojs.aaai.org/index.php/AAAI/article/download/20819/20578,,,,bench/dataset型,OpenAlex cited_by_count=653
cs.AI,2022,AAAI,SplitFed: When Federated Learning Meets Split Learning,https://ojs.aaai.org/index.php/AAAI/article/download/20825/20584,,,,方法型,OpenAlex cited_by_count=623
cs.AI,2022,AAAI,Image-Adaptive YOLO for Object Detection in Adverse Weather Conditions,https://ojs.aaai.org/index.php/AAAI/article/download/20072/19831,https://github.com/wenyyu/Image-Adaptive-YOLO,,,bench/dataset型,OpenAlex cited_by_count=545
cs.AI,2023,AAAI,Are Transformers Effective for Time Series Forecasting?,https://ojs.aaai.org/index.php/AAAI/article/download/26317/26089,,,,bench/dataset型,OpenAlex cited_by_count=2650
